filename,has_gps
1076217889.fit,True
1192755198.fit,True
1206184702.fit,True
1211629852.fit,True
1282426809.fit,True
1302577130.fit,True
1343571308.fit,True
1393195897.fit,True
1427065737.fit,True
1433048367.fit,True
1478456645.fit,True
1593404942.fit,True
1665607574.fit,True
1725620632.fit,True
1798500507.fit,True
1817654000.fit,True
1872493289.fit,True
1886648863.fit,True
1889732067.fit,True
1946355165.fit,True
1997105112.fit,True
2049353347.fit,True
2086523413.fit,True
2095983031.fit,True
2104238085.fit,True
2179817223.fit,True
2231521339.fit,True
2244189544.fit,True
2296961211.fit,True
2338092326.fit,True
2338595584.fit,True
2363329255.fit,True
2397515465.fit,True
2403683125.fit,True
2406482550.fit,True
2448922120.fit,True
2486336422.fit,True
2527860986.fit,True
2551814493.fit,True
2580814244.fit,True
2585859988.fit,True
2614209039.fit,True
2627303958.fit,True
2779152418.fit,True
2779240117.fit,True
2779474371.fit,True
2787994593.fit,True
2822394921.fit,True
2872107699.fit,True
2885556912.fit,True
2989643798.fit,True
3027771360.fit,True
3040982980.fit,True
3077406257.fit,True
3080358789.fit,True
3172476618.fit,True
3217786956.fit,True
3230026237.fit,True
3267895668.fit,True
3278128654.fit,True
3313143421.fit,True
3344589537.fit,True
3355132018.fit,True
3439745397.fit,True
3477521809.fit,True
3502754959.fit,True
3503206354.fit,True
3610645861.fit,True
3652993231.fit,True
3678679262.fit,True
3698257987.fit,True
3699224666.fit,True
3812162868.fit,True
3869989999.fit,True
3871296530.fit,True
3882307014.fit,True
3949219412.fit,True
4014673467.fit,True
4044378961.fit,True
4054074695.fit,True
4054621056.fit,True
4137721137.fit,True
4138547503.fit,True
4214118759.fit,True
4273414741.fit,True
4398865717.fit,True
4447854932.fit,True
4496516247.fit,True
4579467110.fit,True
4608680092.fit,True
4638161968.fit,True
4654942584.fit,True
4744049166.fit,True
4776635241.fit,True
4800321629.fit,True
4848638535.fit,True
4859493370.fit,True
4879129469.fit,True
4883813846.fit,True
4891923520.fit,True
4904353537.fit,True
4906603853.fit,True
4924347627.fit,True
4932169112.fit,True
4976926705.fit,True
4998671798.fit,True
5034060405.fit,True
5127694022.fit,True
5134353527.fit,True
5150917920.fit,True
5173883646.fit,True
5251634674.fit,True
5278708258.fit,True
5327746125.fit,True
5342700297.fit,True
5346047884.fit,True
5434060263.fit,True
5611285675.fit,True
5616977662.fit,True
5643883336.fit,True
5727484528.fit,True
5748028122.fit,True
5783364189.fit,True
5800607665.fit,True
5850829792.fit,True
5861154920.fit,True
5980946182.fit,True
6003994882.fit,True
6034370263.fit,True
6042736958.fit,True
6045348232.fit,True
6063465794.fit,True
6080370570.fit,True
6085273787.fit,True
6116689313.fit,True
6177647402.fit,True
6237583772.fit,True
6313485093.fit,True
6345313558.fit,True
6426344799.fit,True
6485493100.fit,True
6505199089.fit,True
6588055381.fit,True
6634680703.fit,True
6635491092.fit,True
6954323416.fit,True
6986367899.fit,True
7065344923.fit,True
7099680249.fit,True
7236227103.fit,True
7294910733.fit,True
7386274954.fit,True
7450477049.fit,True
7488122878.fit,True
7680297948.fit,True
7784714470.fit,True
7815595372.fit,True
7855797886.fit,True
7975578862.fit,True
8020733605.fit,True
8091079642.fit,True
8109643663.fit,True
8130286128.fit,True
8143097820.fit,True
8203326039.fit,True
8319221722.fit,True
8372724114.fit,True
8375842532.fit,True
8380694395.fit,True
8390104041.fit,True
8433959935.fit,True
8446878288.fit,True
8550381985.fit,True
8686305563.fit,True
8730605366.fit,True
8739409083.fit,True
8744811629.fit,True
8805516205.fit,True
8894712568.fit,True
8905407693.fit,True
8969818643.fit,True
9059296014.fit,True
9080480778.fit,True
9093328083.fit,True
9112705483.fit,True
9134321214.fit,True
9154591992.fit,True
9211430496.fit,True
9281606705.fit,True
9342918170.fit,True
9443124021.fit,True
9448299495.fit,True
9492146252.fit,True
9570118897.fit,True
9588192575.fit,True
9637802243.fit,True
9639482889.fit,True
9760739510.fit,True
9777008456.fit,True
9792512526.fit,True
9802319924.fit,True
9903412002.fit,True
9990841338.fit,True
