start_utc,end_utc,start_edt,end_edt,duration_min
2023-06-14T12:29:42Z,2023-06-14T13:11:36Z,2023-06-14T08:29:42 EDT,2023-06-14T09:11:36 EDT,41.9
2023-06-15T19:21:05Z,2023-06-15T20:51:50Z,2023-06-15T15:21:05 EDT,2023-06-15T16:51:50 EDT,90.8
2023-07-08T18:43:49Z,2023-07-08T19:19:19Z,2023-07-08T14:43:49 EDT,2023-07-08T15:19:19 EDT,35.5
2023-07-31T15:25:02Z,2023-07-31T16:12:37Z,2023-07-31T11:25:02 EDT,2023-07-31T12:12:37 EDT,47.6
2023-08-11T10:27:13Z,2023-08-11T11:21:12Z,2023-08-11T06:27:13 EDT,2023-08-11T07:21:12 EDT,54.0
2023-08-17T18:05:29Z,2023-08-17T19:09:26Z,2023-08-17T14:05:29 EDT,2023-08-17T15:09:26 EDT,64.0
2023-08-19T13:38:29Z,2023-08-19T14:11:51Z,2023-08-19T09:38:29 EDT,2023-08-19T10:11:51 EDT,33.4
2023-08-26T12:13:58Z,2023-08-26T13:29:08Z,2023-08-26T08:13:58 EDT,2023-08-26T09:29:08 EDT,75.2
2024-05-05T21:50:28Z,2024-05-05T22:59:27Z,2024-05-05T17:50:28 EDT,2024-05-05T18:59:27 EDT,69.0
2024-05-06T12:32:42Z,2024-05-06T13:13:44Z,2024-05-06T08:32:42 EDT,2024-05-06T09:13:44 EDT,41.0
2024-07-08T11:01:10Z,2024-07-08T12:01:53Z,2024-07-08T07:01:10 EDT,2024-07-08T08:01:53 EDT,60.7
2024-07-11T16:05:59Z,2024-07-11T17:03:39Z,2024-07-11T12:05:59 EDT,2024-07-11T13:03:39 EDT,57.7
2024-07-13T11:09:19Z,2024-07-13T12:18:19Z,2024-07-13T07:09:19 EDT,2024-07-13T08:18:19 EDT,69.0
2024-07-15T16:21:08Z,2024-07-15T17:24:33Z,2024-07-15T12:21:08 EDT,2024-07-15T13:24:33 EDT,63.4
2024-07-23T13:57:50Z,2024-07-23T14:31:30Z,2024-07-23T09:57:50 EDT,2024-07-23T10:31:30 EDT,33.7
2024-08-01T13:28:16Z,2024-08-01T14:32:41Z,2024-08-01T09:28:16 EDT,2024-08-01T10:32:41 EDT,64.4
2025-05-05T22:08:22Z,2025-05-05T23:00:00Z,2025-05-05T18:08:22 EDT,2025-05-05T19:00:00 EDT,51.6
2025-05-26T17:59:03Z,2025-05-26T18:37:50Z,2025-05-26T13:59:03 EDT,2025-05-26T14:37:50 EDT,38.8
2025-05-30T21:38:49Z,2025-05-30T22:55:58Z,2025-05-30T17:38:49 EDT,2025-05-30T18:55:58 EDT,77.2
2025-06-25T19:26:07Z,2025-06-25T20:02:14Z,2025-06-25T15:26:07 EDT,2025-06-25T16:02:14 EDT,36.1
2025-06-30T12:18:11Z,2025-06-30T12:59:37Z,2025-06-30T08:18:11 EDT,2025-06-30T08:59:37 EDT,41.4
2025-07-07T12:59:13Z,2025-07-07T14:25:48Z,2025-07-07T08:59:13 EDT,2025-07-07T10:25:48 EDT,86.6
2025-07-13T15:49:31Z,2025-07-13T17:10:45Z,2025-07-13T11:49:31 EDT,2025-07-13T13:10:45 EDT,81.2
2025-08-12T14:07:54Z,2025-08-12T15:30:17Z,2025-08-12T10:07:54 EDT,2025-08-12T11:30:17 EDT,82.4
2025-08-13T12:43:04Z,2025-08-13T13:45:22Z,2025-08-13T08:43:04 EDT,2025-08-13T09:45:22 EDT,62.3
2025-08-21T10:37:53Z,2025-08-21T11:11:14Z,2025-08-21T06:37:53 EDT,2025-08-21T07:11:14 EDT,33.4
