start_utc,end_utc,start_edt,end_edt,duration_min
2023-05-07T22:03:14Z,2023-05-07T23:00:00Z,2023-05-07T18:03:14 EDT,2023-05-07T19:00:00 EDT,56.8
2023-05-24T22:20:25Z,2023-05-24T23:00:00Z,2023-05-24T18:20:25 EDT,2023-05-24T19:00:00 EDT,39.6
2023-05-26T13:58:36Z,2023-05-26T15:25:21Z,2023-05-26T09:58:36 EDT,2023-05-26T11:25:21 EDT,86.8
2023-05-28T15:13:41Z,2023-05-28T16:15:06Z,2023-05-28T11:13:41 EDT,2023-05-28T12:15:06 EDT,61.4
2023-05-31T20:29:09Z,2023-05-31T21:15:17Z,2023-05-31T16:29:09 EDT,2023-05-31T17:15:17 EDT,46.1
2023-06-02T13:47:35Z,2023-06-02T14:51:51Z,2023-06-02T09:47:35 EDT,2023-06-02T10:51:51 EDT,64.3
2023-06-05T21:37:27Z,2023-06-05T23:00:00Z,2023-06-05T17:37:27 EDT,2023-06-05T19:00:00 EDT,82.5
2023-06-06T16:23:14Z,2023-06-06T17:01:46Z,2023-06-06T12:23:14 EDT,2023-06-06T13:01:46 EDT,38.5
2023-06-10T17:05:48Z,2023-06-10T17:39:43Z,2023-06-10T13:05:48 EDT,2023-06-10T13:39:43 EDT,33.9
2023-06-14T11:09:40Z,2023-06-14T11:50:30Z,2023-06-14T07:09:40 EDT,2023-06-14T07:50:30 EDT,40.8
2023-06-21T20:27:38Z,2023-06-21T21:02:02Z,2023-06-21T16:27:38 EDT,2023-06-21T17:02:02 EDT,34.4
2023-07-03T16:38:29Z,2023-07-03T17:41:45Z,2023-07-03T12:38:29 EDT,2023-07-03T13:41:45 EDT,63.3
2023-07-23T18:55:00Z,2023-07-23T20:08:46Z,2023-07-23T14:55:00 EDT,2023-07-23T16:08:46 EDT,73.8
2023-07-27T11:43:56Z,2023-07-27T12:48:44Z,2023-07-27T07:43:56 EDT,2023-07-27T08:48:44 EDT,64.8
2023-07-29T14:49:41Z,2023-07-29T15:40:48Z,2023-07-29T10:49:41 EDT,2023-07-29T11:40:48 EDT,51.1
2023-08-03T14:27:10Z,2023-08-03T15:26:10Z,2023-08-03T10:27:10 EDT,2023-08-03T11:26:10 EDT,59.0
2023-08-04T21:56:46Z,2023-08-04T22:43:18Z,2023-08-04T17:56:46 EDT,2023-08-04T18:43:18 EDT,46.5
2023-08-07T22:11:32Z,2023-08-07T23:00:00Z,2023-08-07T18:11:32 EDT,2023-08-07T19:00:00 EDT,48.5
2023-08-08T20:19:53Z,2023-08-08T21:30:25Z,2023-08-08T16:19:53 EDT,2023-08-08T17:30:25 EDT,70.5
2023-08-13T19:12:09Z,2023-08-13T20:05:57Z,2023-08-13T15:12:09 EDT,2023-08-13T16:05:57 EDT,53.8
2023-08-16T12:34:49Z,2023-08-16T14:04:22Z,2023-08-16T08:34:49 EDT,2023-08-16T10:04:22 EDT,89.5
2023-08-21T10:38:20Z,2023-08-21T11:39:21Z,2023-08-21T06:38:20 EDT,2023-08-21T07:39:21 EDT,61.0
2023-08-23T11:59:23Z,2023-08-23T13:26:16Z,2023-08-23T07:59:23 EDT,2023-08-23T09:26:16 EDT,86.9
2023-08-25T22:19:15Z,2023-08-25T22:52:30Z,2023-08-25T18:19:15 EDT,2023-08-25T18:52:30 EDT,33.2
2023-08-28T19:05:05Z,2023-08-28T20:21:36Z,2023-08-28T15:05:05 EDT,2023-08-28T16:21:36 EDT,76.5
2023-09-03T11:48:34Z,2023-09-03T13:07:42Z,2023-09-03T07:48:34 EDT,2023-09-03T09:07:42 EDT,79.1
2023-09-14T12:42:30Z,2023-09-14T14:13:05Z,2023-09-14T08:42:30 EDT,2023-09-14T10:13:05 EDT,90.6
